citation_id,run_id,ticker,claim_type,claim_text,source_doc_id,source_url,source_version,filing_date,section_ref,page_ref,quote,extraction_method,recorded_by,recorded_at,verification_status,verified_by,verified_at,notes
CIT-pilot25_2026Q1_v1-A-001,pilot25_2026Q1_v1,A,qualitative,Workforce-related statement for A,SRC-pilot25_2026Q1_v1-FILING-A-000109087225000087,https://www.sec.gov/Archives/edgar/data/1090872/000109087225000087/a-20251031.htm,0001090872-25-000087,2025-12-22,auto_keyword_scan,,"Chemical market customers use our products to determine chemical composition, perform impurity analysis, qualify raw materials, conduct materials characterization, and verify and ensure the environmental safety of operations and employees.",script,pipeline,2026-03-16T17:13:46.951Z,unverified,,,
CIT-pilot25_2026Q1_v1-A-002,pilot25_2026Q1_v1,A,qualitative,Workforce-related statement for A,SRC-pilot25_2026Q1_v1-FILING-A-000109087225000087,https://www.sec.gov/Archives/edgar/data/1090872/000109087225000087/a-20251031.htm,0001090872-25-000087,2025-12-22,auto_keyword_scan,,"In general, OFS employees are dedicated to specific businesses and the associated costs are directly allocated to those businesses.",script,pipeline,2026-03-16T17:13:46.951Z,unverified,,,
CIT-pilot25_2026Q1_v1-A-003,pilot25_2026Q1_v1,A,qualitative,Workforce-related statement for A,SRC-pilot25_2026Q1_v1-FILING-A-000109087225000087,https://www.sec.gov/Archives/edgar/data/1090872/000109087225000087/a-20251031.htm,0001090872-25-000087,2025-12-22,auto_keyword_scan,,"Violations of these laws and regulations could result in fines and penalties, criminal sanctions, restrictions on our business conduct and on our ability to offer our products in one or more countries, and could also materially affect our brand, our ability to attract and retain employees, our international operations, our business and our operating results.",script,pipeline,2026-03-16T17:13:46.951Z,unverified,,,
CIT-pilot25_2026Q1_v1-A-004,pilot25_2026Q1_v1,A,qualitative,Workforce-related statement for A,SRC-pilot25_2026Q1_v1-FILING-A-000109087225000087,https://www.sec.gov/Archives/edgar/data/1090872/000109087225000087/a-20251031.htm,0001090872-25-000087,2025-12-22,auto_keyword_scan,,"Global privacy laws, including the EU's General Data Protection Regulation (""GDPR ), Brazil s Lei Geral de Protecao de Dados , China's Personal Information Protection Law and Data Security Law, and the California Consumer Privacy Act, apply to our activities involving the processing of personal data, both in relation to our product and service offerings and the management of our workforce.",script,pipeline,2026-03-16T17:13:46.951Z,unverified,,,
CIT-pilot25_2026Q1_v1-A-005,pilot25_2026Q1_v1,A,qualitative,Workforce-related statement for A,SRC-pilot25_2026Q1_v1-FILING-A-000109087225000087,https://www.sec.gov/Archives/edgar/data/1090872/000109087225000087/a-20251031.htm,0001090872-25-000087,2025-12-22,auto_keyword_scan,,We also leverage temporary workers to provide flexibility for our business and manufacturing needs.,script,pipeline,2026-03-16T17:13:46.951Z,unverified,,,
CIT-pilot25_2026Q1_v1-A-006,pilot25_2026Q1_v1,A,qualitative,Workforce-related statement for A,SRC-pilot25_2026Q1_v1-FILING-A-000109087225000087,https://www.sec.gov/Archives/edgar/data/1090872/000109087225000087/a-20251031.htm,0001090872-25-000087,2025-12-22,auto_keyword_scan,,"Whether we are working with our customers to keep food supplies safe, improve the quality of air, water and soil, or fight cancer with more precise diagnoses and targeted treatments, our employees share a passion and commitment to advancing the quality of life.",script,pipeline,2026-03-16T17:13:46.951Z,unverified,,,
CIT-pilot25_2026Q1_v1-A-007,pilot25_2026Q1_v1,A,qualitative,Workforce-related statement for A,SRC-pilot25_2026Q1_v1-FILING-A-000109087225000087,https://www.sec.gov/Archives/edgar/data/1090872/000109087225000087/a-20251031.htm,0001090872-25-000087,2025-12-22,auto_keyword_scan,,We believe that our future success largely depends upon our continued ability to attract and retain highly skilled employees in order to fulfill that commitment.,script,pipeline,2026-03-16T17:13:46.951Z,unverified,,,
CIT-pilot25_2026Q1_v1-A-008,pilot25_2026Q1_v1,A,qualitative,Workforce-related statement for A,SRC-pilot25_2026Q1_v1-FILING-A-000109087225000087,https://www.sec.gov/Archives/edgar/data/1090872/000109087225000087/a-20251031.htm,0001090872-25-000087,2025-12-22,auto_keyword_scan,,"We engage with our employees through consultation, surveys, ad-hoc feedback and reviews.",script,pipeline,2026-03-16T17:13:46.951Z,unverified,,,
CIT-pilot25_2026Q1_v1-A-009,pilot25_2026Q1_v1,A,qualitative,Workforce-related statement for A,SRC-pilot25_2026Q1_v1-FILING-A-000109087225000087,https://www.sec.gov/Archives/edgar/data/1090872/000109087225000087/a-20251031.htm,0001090872-25-000087,2025-12-22,auto_keyword_scan,,"We conduct leadership surveys that allow employees to provide feedback on leadership effectiveness, culture and job satisfaction.",script,pipeline,2026-03-16T17:13:46.951Z,unverified,,,
CIT-pilot25_2026Q1_v1-A-010,pilot25_2026Q1_v1,A,qualitative,Workforce-related statement for A,SRC-pilot25_2026Q1_v1-FILING-A-000109087225000087,https://www.sec.gov/Archives/edgar/data/1090872/000109087225000087/a-20251031.htm,0001090872-25-000087,2025-12-22,auto_keyword_scan,,We have an open-door policy where employees are encouraged and empowered to bring issues to management s attention.,script,pipeline,2026-03-16T17:13:46.951Z,unverified,,,
