run_id,ticker,company_name,cik,evidence_id,citation_id,candidate_headcount,filing_date,source_url,quote,auto_priority_score,auto_confidence,likely_total_headcount,is_recommended
pilot25_2026Q1_v1,AAPL,Apple Inc.,0000320193,EVD-pilot25_2026Q1_v1-AAPL-002,CIT-pilot25_2026Q1_v1-AAPL-002,166000,2025-10-31,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,"As of September 27, 2025, the Company had approximately 166,000 full-time equivalent employees.",10,high,yes,yes
pilot25_2026Q1_v1,ABBV,AbbVie,0001551152,EVD-pilot25_2026Q1_v1-ABBV-003,CIT-pilot25_2026Q1_v1-ABBV-003,57000,2026-02-20,https://www.sec.gov/Archives/edgar/data/1551152/000155115226000008/abbv-20251231.htm,"Employees AbbVie employed approximately 57,000 employees in over 70 countries as of December 31, 2025.",7,high,yes,yes
pilot25_2026Q1_v1,ABNB,Airbnb,0001559720,EVD-pilot25_2026Q1_v1-ABNB-003,CIT-pilot25_2026Q1_v1-ABNB-003,8200,2026-02-12,https://www.sec.gov/Archives/edgar/data/1559720/000155972026000004/abnb-20251231.htm,"As of December 31, 2025, we had approximately 8,200 employees.",9,high,yes,yes
pilot25_2026Q1_v1,ACGL,Arch Capital Group,0000947484,EVD-pilot25_2026Q1_v1-ACGL-003,CIT-pilot25_2026Q1_v1-ACGL-003,8000,2026-02-26,https://www.sec.gov/Archives/edgar/data/947484/000094748426000017/acgl-20251231.htm,"As of February 19, 2026, we had approximately 8,000 employees globally, compared to around 7,200 last year, which directly speaks to our ability to sustain our strong and unique culture as we grow, which is a key enabler to top talent retention.",9,high,yes,yes
pilot25_2026Q1_v1,ACGL,Arch Capital Group,0000947484,EVD-pilot25_2026Q1_v1-ACGL-004,CIT-pilot25_2026Q1_v1-ACGL-004,4300,2026-02-26,https://www.sec.gov/Archives/edgar/data/947484/000094748426000017/acgl-20251231.htm,"We have approximately 4,300 employees in North America (U.S., Canada and Bermuda), 1,700 employees in Europe and the U.K.",4,medium,no,no
pilot25_2026Q1_v1,ACGL,Arch Capital Group,0000947484,EVD-pilot25_2026Q1_v1-ACGL-008,CIT-pilot25_2026Q1_v1-ACGL-008,1500,2026-02-26,https://www.sec.gov/Archives/edgar/data/947484/000094748426000017/acgl-20251231.htm,"In 2025, our multiple employee networks provided a forum for over 1,500 employees to share ideas, build community, provide leadership opportunities for members and contribute meaningfully to business outcomes.",2,low,no,no
pilot25_2026Q1_v1,ADI,Analog Devices,0000006281,EVD-pilot25_2026Q1_v1-ADI-011,CIT-pilot25_2026Q1_v1-ADI-011,24500,2025-11-25,https://www.sec.gov/Archives/edgar/data/6281/000000628125000153/adi-20251101.htm,"As of November 1, 2025, we had approximately 24,500 employees, of whom approximately 13,000 are in engineering roles.",9,high,yes,yes
pilot25_2026Q1_v1,ADSK,Autodesk,0000769397,EVD-pilot25_2026Q1_v1-ADSK-008,CIT-pilot25_2026Q1_v1-ADSK-008,14300,2026-03-03,https://www.sec.gov/Archives/edgar/data/769397/000076939726000015/adsk-20260131.htm,"As of January 31, 2026, we employed approximately 14,300 people, a decrease from approximately 15,300 employees as of the end of fiscal year 2025.",7,high,yes,yes
pilot25_2026Q1_v1,AEP,American Electric Power,0000004904,EVD-pilot25_2026Q1_v1-AEP-006,CIT-pilot25_2026Q1_v1-AEP-006,6994,2026-02-12,https://www.sec.gov/Archives/edgar/data/4904/000000490426000013/aep-20251231.htm,"As of December 31, 2025, AEPSC had 6,994 employees.",5,medium,yes,yes
pilot25_2026Q1_v1,AIG,American International Group,0000005272,EVD-pilot25_2026Q1_v1-AIG-004,CIT-pilot25_2026Q1_v1-AIG-004,22100,2026-02-12,https://www.sec.gov/Archives/edgar/data/5272/000000527226000023/aig-20251231.htm,"At December 31, 2025, we had approximately 22,100 employees based in approximately 45 countries, of which 27 percent are located in North America, 47 percent are in the Asia Pacific region and the remaining 26 percent are in the European, Middle East and Africa (EMEA region) and Latin America.",6,medium,yes,yes
pilot25_2026Q1_v1,AIZ,Assurant,0001267238,EVD-pilot25_2026Q1_v1-AIZ-009,CIT-pilot25_2026Q1_v1-AIZ-009,14800,2026-02-19,https://www.sec.gov/Archives/edgar/data/1267238/000126723826000010/aiz-20251231.htm,"As of December 31, 2025, Assurant had approximately 14,800 employees, representing more than 80 nationalities, with a presence in 21 markets globally.",7,high,yes,yes
pilot25_2026Q1_v1,AJG,Arthur J. Gallagher & Co.,0000354190,EVD-pilot25_2026Q1_v1-AJG-009,CIT-pilot25_2026Q1_v1-AJG-009,72000,2026-02-17,https://www.sec.gov/Archives/edgar/data/354190/000162828026008662/ajg-20251231.htm,"Human Capital As of December 31, 2025, we had approximately 72,000 employees, with approximately 47% in the U.S.",9,high,yes,yes
pilot25_2026Q1_v1,AKAM,Akamai Technologies,0001086222,EVD-pilot25_2026Q1_v1-AKAM-005,CIT-pilot25_2026Q1_v1-AKAM-005,11000,2026-02-20,https://www.sec.gov/Archives/edgar/data/1086222/000108622226000022/akam-20251231.htm,"As of December 31, 2025, we had over 11,000 employees located in more than 30 countries (with approximately 65% of those employees located outside of the U.S.) and representing over 100 nationalities, all of which we believe helps bring a global perspective to our operations.",9,high,yes,yes
pilot25_2026Q1_v1,ALB,Albemarle Corporation,0000915913,EVD-pilot25_2026Q1_v1-ALB-003,CIT-pilot25_2026Q1_v1-ALB-003,7800,2026-02-11,https://www.sec.gov/Archives/edgar/data/915913/000091591326000018/alb-20251231.htm,"As of December 31, 2025, we had approximately 7,800 employees, including employees of our consolidated joint ventures, of whom 3,100, or 40%, are employed in the U.S.",9,high,yes,yes
