run_id,ticker,company_name,cik,candidate_headcount,candidate_confidence,citation_id,source_url,filing_date,quote,review_status,verified_headcount,reviewer,reviewed_at,review_notes
pilot25_2026Q1_v1,A,Agilent Technologies,0001090872,,none,,,,No candidate extracted automatically; manual filing review required.,needs_research,,,,
pilot25_2026Q1_v1,AAPL,Apple Inc.,0000320193,166000,high,CIT-pilot25_2026Q1_v1-AAPL-002,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,2025-10-31,"As of September 27, 2025, the Company had approximately 166,000 full-time equivalent employees.",approved,166000,codex-auto,2026-03-16T17:20:39.068Z,Auto-approved: high-confidence total employee statement pattern.
pilot25_2026Q1_v1,ABBV,AbbVie,0001551152,57000,high,CIT-pilot25_2026Q1_v1-ABBV-003,https://www.sec.gov/Archives/edgar/data/1551152/000155115226000008/abbv-20251231.htm,2026-02-20,"Employees AbbVie employed approximately 57,000 employees in over 70 countries as of December 31, 2025.",approved,57000,codex-auto,2026-03-16T17:20:39.068Z,Auto-approved: high-confidence total employee statement pattern.
pilot25_2026Q1_v1,ABNB,Airbnb,0001559720,8200,high,CIT-pilot25_2026Q1_v1-ABNB-003,https://www.sec.gov/Archives/edgar/data/1559720/000155972026000004/abnb-20251231.htm,2026-02-12,"As of December 31, 2025, we had approximately 8,200 employees.",approved,8200,codex-auto,2026-03-16T17:20:39.068Z,Auto-approved: high-confidence total employee statement pattern.
pilot25_2026Q1_v1,ABT,Abbott Laboratories,0000001800,,none,,,,No candidate extracted automatically; manual filing review required.,needs_research,,,,
pilot25_2026Q1_v1,ACGL,Arch Capital Group,0000947484,8000,high,CIT-pilot25_2026Q1_v1-ACGL-003,https://www.sec.gov/Archives/edgar/data/947484/000094748426000017/acgl-20251231.htm,2026-02-26,"As of February 19, 2026, we had approximately 8,000 employees globally, compared to around 7,200 last year, which directly speaks to our ability to sustain our strong and unique culture as we grow, which is a key enabler to top talent retention.",approved,8000,codex-auto,2026-03-16T17:20:39.068Z,Auto-approved: high-confidence total employee statement pattern.
pilot25_2026Q1_v1,ACN,Accenture,0001467373,,none,,,,No candidate extracted automatically; manual filing review required.,needs_research,,,,
pilot25_2026Q1_v1,ADBE,Adobe Inc.,0000796343,,none,,,,No candidate extracted automatically; manual filing review required.,needs_research,,,,
pilot25_2026Q1_v1,ADI,Analog Devices,0000006281,24500,high,CIT-pilot25_2026Q1_v1-ADI-011,https://www.sec.gov/Archives/edgar/data/6281/000000628125000153/adi-20251101.htm,2025-11-25,"As of November 1, 2025, we had approximately 24,500 employees, of whom approximately 13,000 are in engineering roles.",approved,24500,codex-auto,2026-03-16T17:20:39.068Z,Auto-approved: high-confidence total employee statement pattern.
pilot25_2026Q1_v1,ADM,Archer Daniels Midland,0000007084,,none,,,,No candidate extracted automatically; manual filing review required.,needs_research,,,,
