run_id,ticker,cik,company_name,form,filing_date,report_date,accession_number,primary_document,filing_url,submission_doc_id,submission_fetched_at,status
pilot25_2026Q1_v1,A,0001090872,Agilent Technologies,10-K,2025-12-22,2025-10-31,0001090872-25-000087,a-20251031.htm,https://www.sec.gov/Archives/edgar/data/1090872/000109087225000087/a-20251031.htm,SRC-pilot25_2026Q1_v1-SEC-SUB-A,2026-03-16T16:58:33.370Z,ok
pilot25_2026Q1_v1,AAPL,0000320193,Apple Inc.,10-K,2025-10-31,2025-09-27,0000320193-25-000079,aapl-20250927.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,SRC-pilot25_2026Q1_v1-SEC-SUB-AAPL,2026-03-16T16:58:33.370Z,ok
pilot25_2026Q1_v1,ABBV,0001551152,AbbVie,10-K,2026-02-20,2025-12-31,0001551152-26-000008,abbv-20251231.htm,https://www.sec.gov/Archives/edgar/data/1551152/000155115226000008/abbv-20251231.htm,SRC-pilot25_2026Q1_v1-SEC-SUB-ABBV,2026-03-16T16:58:33.370Z,ok
pilot25_2026Q1_v1,ABNB,0001559720,Airbnb,10-K,2026-02-12,2025-12-31,0001559720-26-000004,abnb-20251231.htm,https://www.sec.gov/Archives/edgar/data/1559720/000155972026000004/abnb-20251231.htm,SRC-pilot25_2026Q1_v1-SEC-SUB-ABNB,2026-03-16T16:58:33.370Z,ok
pilot25_2026Q1_v1,ABT,0000001800,Abbott Laboratories,10-K,2026-02-20,2025-12-31,0001628280-26-010185,abt-20251231.htm,https://www.sec.gov/Archives/edgar/data/1800/000162828026010185/abt-20251231.htm,SRC-pilot25_2026Q1_v1-SEC-SUB-ABT,2026-03-16T16:58:33.370Z,ok
pilot25_2026Q1_v1,ACGL,0000947484,Arch Capital Group,10-K,2026-02-26,2025-12-31,0000947484-26-000017,acgl-20251231.htm,https://www.sec.gov/Archives/edgar/data/947484/000094748426000017/acgl-20251231.htm,SRC-pilot25_2026Q1_v1-SEC-SUB-ACGL,2026-03-16T16:58:33.370Z,ok
pilot25_2026Q1_v1,ACN,0001467373,Accenture,10-K,2025-10-10,2025-08-31,0001467373-25-000217,acn-20250831.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737325000217/acn-20250831.htm,SRC-pilot25_2026Q1_v1-SEC-SUB-ACN,2026-03-16T16:58:33.370Z,ok
pilot25_2026Q1_v1,ADBE,0000796343,Adobe Inc.,10-K,2026-01-15,2025-11-28,0000796343-26-000003,adbe-20251128.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634326000003/adbe-20251128.htm,SRC-pilot25_2026Q1_v1-SEC-SUB-ADBE,2026-03-16T16:58:33.370Z,ok
pilot25_2026Q1_v1,ADI,0000006281,Analog Devices,10-K,2025-11-25,2025-11-01,0000006281-25-000153,adi-20251101.htm,https://www.sec.gov/Archives/edgar/data/6281/000000628125000153/adi-20251101.htm,SRC-pilot25_2026Q1_v1-SEC-SUB-ADI,2026-03-16T16:58:33.370Z,ok
pilot25_2026Q1_v1,ADM,0000007084,Archer Daniels Midland,10-K,2026-02-17,2025-12-31,0000007084-26-000011,adm-20251231.htm,https://www.sec.gov/Archives/edgar/data/7084/000000708426000011/adm-20251231.htm,SRC-pilot25_2026Q1_v1-SEC-SUB-ADM,2026-03-16T16:58:33.370Z,ok
