mapping_id,run_id,ticker,evidence_id,repo_label,mapped_share_pct,mapping_confidence,mapping_rationale,assumption_id
MAP-pilot25_2026Q1_v1-001,pilot25_2026Q1_v1,A,,,100,unknown,No auditable role-share distribution was extracted from current filing evidence; workforce share remains explicit unknown.,ASM-003
MAP-pilot25_2026Q1_v1-002,pilot25_2026Q1_v1,AAPL,,,100,unknown,No auditable role-share distribution was extracted from current filing evidence; workforce share remains explicit unknown.,ASM-003
MAP-pilot25_2026Q1_v1-003,pilot25_2026Q1_v1,ABBV,,,100,unknown,No auditable role-share distribution was extracted from current filing evidence; workforce share remains explicit unknown.,ASM-003
MAP-pilot25_2026Q1_v1-004,pilot25_2026Q1_v1,ABNB,,,100,unknown,No auditable role-share distribution was extracted from current filing evidence; workforce share remains explicit unknown.,ASM-003
MAP-pilot25_2026Q1_v1-005,pilot25_2026Q1_v1,ABT,,,100,unknown,No auditable role-share distribution was extracted from current filing evidence; workforce share remains explicit unknown.,ASM-003
MAP-pilot25_2026Q1_v1-006,pilot25_2026Q1_v1,ACGL,,,100,unknown,No auditable role-share distribution was extracted from current filing evidence; workforce share remains explicit unknown.,ASM-003
MAP-pilot25_2026Q1_v1-007,pilot25_2026Q1_v1,ACN,,,100,unknown,No auditable role-share distribution was extracted from current filing evidence; workforce share remains explicit unknown.,ASM-003
MAP-pilot25_2026Q1_v1-008,pilot25_2026Q1_v1,ADBE,,,100,unknown,No auditable role-share distribution was extracted from current filing evidence; workforce share remains explicit unknown.,ASM-003
MAP-pilot25_2026Q1_v1-009,pilot25_2026Q1_v1,ADI,,,100,unknown,No auditable role-share distribution was extracted from current filing evidence; workforce share remains explicit unknown.,ASM-003
MAP-pilot25_2026Q1_v1-010,pilot25_2026Q1_v1,ADM,,,100,unknown,No auditable role-share distribution was extracted from current filing evidence; workforce share remains explicit unknown.,ASM-003
MAP-pilot25_2026Q1_v1-011,pilot25_2026Q1_v1,ADP,,,100,unknown,No auditable role-share distribution was extracted from current filing evidence; workforce share remains explicit unknown.,ASM-003
MAP-pilot25_2026Q1_v1-012,pilot25_2026Q1_v1,ADSK,,,100,unknown,No auditable role-share distribution was extracted from current filing evidence; workforce share remains explicit unknown.,ASM-003
MAP-pilot25_2026Q1_v1-013,pilot25_2026Q1_v1,AEE,,,100,unknown,No auditable role-share distribution was extracted from current filing evidence; workforce share remains explicit unknown.,ASM-003
MAP-pilot25_2026Q1_v1-014,pilot25_2026Q1_v1,AEP,,,100,unknown,No auditable role-share distribution was extracted from current filing evidence; workforce share remains explicit unknown.,ASM-003
MAP-pilot25_2026Q1_v1-015,pilot25_2026Q1_v1,AES,,,100,unknown,No auditable role-share distribution was extracted from current filing evidence; workforce share remains explicit unknown.,ASM-003
MAP-pilot25_2026Q1_v1-016,pilot25_2026Q1_v1,AFL,,,100,unknown,No auditable role-share distribution was extracted from current filing evidence; workforce share remains explicit unknown.,ASM-003
MAP-pilot25_2026Q1_v1-017,pilot25_2026Q1_v1,AIG,,,100,unknown,No auditable role-share distribution was extracted from current filing evidence; workforce share remains explicit unknown.,ASM-003
MAP-pilot25_2026Q1_v1-018,pilot25_2026Q1_v1,AIZ,,,100,unknown,No auditable role-share distribution was extracted from current filing evidence; workforce share remains explicit unknown.,ASM-003
MAP-pilot25_2026Q1_v1-019,pilot25_2026Q1_v1,AJG,,,100,unknown,No auditable role-share distribution was extracted from current filing evidence; workforce share remains explicit unknown.,ASM-003
MAP-pilot25_2026Q1_v1-020,pilot25_2026Q1_v1,AKAM,,,100,unknown,No auditable role-share distribution was extracted from current filing evidence; workforce share remains explicit unknown.,ASM-003
MAP-pilot25_2026Q1_v1-021,pilot25_2026Q1_v1,ALB,,,100,unknown,No auditable role-share distribution was extracted from current filing evidence; workforce share remains explicit unknown.,ASM-003
MAP-pilot25_2026Q1_v1-022,pilot25_2026Q1_v1,ALGN,,,100,unknown,No auditable role-share distribution was extracted from current filing evidence; workforce share remains explicit unknown.,ASM-003
MAP-pilot25_2026Q1_v1-023,pilot25_2026Q1_v1,ALL,,,100,unknown,No auditable role-share distribution was extracted from current filing evidence; workforce share remains explicit unknown.,ASM-003
MAP-pilot25_2026Q1_v1-024,pilot25_2026Q1_v1,ALLE,,,100,unknown,No auditable role-share distribution was extracted from current filing evidence; workforce share remains explicit unknown.,ASM-003
MAP-pilot25_2026Q1_v1-025,pilot25_2026Q1_v1,AMAT,,,100,unknown,No auditable role-share distribution was extracted from current filing evidence; workforce share remains explicit unknown.,ASM-003
