doc_id,run_id,source_type,source_name,source_url,source_version,accessed_at,published_at,local_path,checksum_sha256
SRC-pilot25_2026Q1_v1-FILING-A-000109087225000087,pilot25_2026Q1_v1,filing,A 10-K primary filing document,https://www.sec.gov/Archives/edgar/data/1090872/000109087225000087/a-20251031.htm,0001090872-25-000087,2026-03-16T17:04:51.801Z,2025-12-22,C:/Users/uprig/Documents/claude/jobs_sp500/data/raw/pilot25_2026Q1_v1__filing_primary_docs__2026-03-16T17-04-51.801Z/A__000109087225000087__a-20251031.htm,56460d1d5d917ed876bc421191ef6b3ae7841af02aec2b8df99fd685815ad7bf
SRC-pilot25_2026Q1_v1-FILING-AAPL-000032019325000079,pilot25_2026Q1_v1,filing,AAPL 10-K primary filing document,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,0000320193-25-000079,2026-03-16T17:04:51.801Z,2025-10-31,C:/Users/uprig/Documents/claude/jobs_sp500/data/raw/pilot25_2026Q1_v1__filing_primary_docs__2026-03-16T17-04-51.801Z/AAPL__000032019325000079__aapl-20250927.htm,08381718593b982461a30f21c97711d5d2b6180a42806079d1c6df9634a9433d
SRC-pilot25_2026Q1_v1-FILING-ABBV-000155115226000008,pilot25_2026Q1_v1,filing,ABBV 10-K primary filing document,https://www.sec.gov/Archives/edgar/data/1551152/000155115226000008/abbv-20251231.htm,0001551152-26-000008,2026-03-16T17:04:51.801Z,2026-02-20,C:/Users/uprig/Documents/claude/jobs_sp500/data/raw/pilot25_2026Q1_v1__filing_primary_docs__2026-03-16T17-04-51.801Z/ABBV__000155115226000008__abbv-20251231.htm,774e85270fce5770a76d49619b0b0340fa69eb23b21d33f320d63421d4ee3041
SRC-pilot25_2026Q1_v1-FILING-ABNB-000155972026000004,pilot25_2026Q1_v1,filing,ABNB 10-K primary filing document,https://www.sec.gov/Archives/edgar/data/1559720/000155972026000004/abnb-20251231.htm,0001559720-26-000004,2026-03-16T17:04:51.801Z,2026-02-12,C:/Users/uprig/Documents/claude/jobs_sp500/data/raw/pilot25_2026Q1_v1__filing_primary_docs__2026-03-16T17-04-51.801Z/ABNB__000155972026000004__abnb-20251231.htm,a30d437b4878672fe452d209d3b3d799bc0e672c2de2821b17a993cf7e252845
SRC-pilot25_2026Q1_v1-FILING-ABT-000162828026010185,pilot25_2026Q1_v1,filing,ABT 10-K primary filing document,https://www.sec.gov/Archives/edgar/data/1800/000162828026010185/abt-20251231.htm,0001628280-26-010185,2026-03-16T17:04:51.801Z,2026-02-20,C:/Users/uprig/Documents/claude/jobs_sp500/data/raw/pilot25_2026Q1_v1__filing_primary_docs__2026-03-16T17-04-51.801Z/ABT__000162828026010185__abt-20251231.htm,420b4c9ae41aaee72c65e027b141abe1aadb5eb30699ffc127ad8785838326ec
SRC-pilot25_2026Q1_v1-FILING-ACGL-000094748426000017,pilot25_2026Q1_v1,filing,ACGL 10-K primary filing document,https://www.sec.gov/Archives/edgar/data/947484/000094748426000017/acgl-20251231.htm,0000947484-26-000017,2026-03-16T17:04:51.801Z,2026-02-26,C:/Users/uprig/Documents/claude/jobs_sp500/data/raw/pilot25_2026Q1_v1__filing_primary_docs__2026-03-16T17-04-51.801Z/ACGL__000094748426000017__acgl-20251231.htm,e8ce07849f35251a6f91d9d1ad6e6241fe9a73e69ed56a18975971c6c5ad83b0
SRC-pilot25_2026Q1_v1-FILING-ACN-000146737325000217,pilot25_2026Q1_v1,filing,ACN 10-K primary filing document,https://www.sec.gov/Archives/edgar/data/1467373/000146737325000217/acn-20250831.htm,0001467373-25-000217,2026-03-16T17:04:51.801Z,2025-10-10,C:/Users/uprig/Documents/claude/jobs_sp500/data/raw/pilot25_2026Q1_v1__filing_primary_docs__2026-03-16T17-04-51.801Z/ACN__000146737325000217__acn-20250831.htm,6674ce63c756dd46f6bf8743abd15a9c7de8855f6d5d3eef03c16f7b2551793a
SRC-pilot25_2026Q1_v1-FILING-ADBE-000079634326000003,pilot25_2026Q1_v1,filing,ADBE 10-K primary filing document,https://www.sec.gov/Archives/edgar/data/796343/000079634326000003/adbe-20251128.htm,0000796343-26-000003,2026-03-16T17:04:51.801Z,2026-01-15,C:/Users/uprig/Documents/claude/jobs_sp500/data/raw/pilot25_2026Q1_v1__filing_primary_docs__2026-03-16T17-04-51.801Z/ADBE__000079634326000003__adbe-20251128.htm,4243556098c4f9c48ac19c7f4dc730fb4d609d20e081b9e2866873c8d35e639f
SRC-pilot25_2026Q1_v1-FILING-ADI-000000628125000153,pilot25_2026Q1_v1,filing,ADI 10-K primary filing document,https://www.sec.gov/Archives/edgar/data/6281/000000628125000153/adi-20251101.htm,0000006281-25-000153,2026-03-16T17:04:51.801Z,2025-11-25,C:/Users/uprig/Documents/claude/jobs_sp500/data/raw/pilot25_2026Q1_v1__filing_primary_docs__2026-03-16T17-04-51.801Z/ADI__000000628125000153__adi-20251101.htm,fcae9c59a59ce59f03018cca6d208ad2686801ddedec7f86983ed7faf4042ff3
SRC-pilot25_2026Q1_v1-FILING-ADM-000000708426000011,pilot25_2026Q1_v1,filing,ADM 10-K primary filing document,https://www.sec.gov/Archives/edgar/data/7084/000000708426000011/adm-20251231.htm,0000007084-26-000011,2026-03-16T17:04:51.801Z,2026-02-17,C:/Users/uprig/Documents/claude/jobs_sp500/data/raw/pilot25_2026Q1_v1__filing_primary_docs__2026-03-16T17-04-51.801Z/ADM__000000708426000011__adm-20251231.htm,29b6a29074b8d6a2cb06a86e871b4961ffff3db010399bccfea8752dca59f0f7
SRC-pilot25_2026Q1_v1-FILING-ADP-000000867025000037,pilot25_2026Q1_v1,filing,ADP 10-K primary filing document,https://www.sec.gov/Archives/edgar/data/8670/000000867025000037/adp-20250630.htm,0000008670-25-000037,2026-03-16T17:04:51.801Z,2025-08-06,C:/Users/uprig/Documents/claude/jobs_sp500/data/raw/pilot25_2026Q1_v1__filing_primary_docs__2026-03-16T17-04-51.801Z/ADP__000000867025000037__adp-20250630.htm,6acb8fe3bc1bfe2d638a80501ebb2496dc3d1169cab449b036625134330459ef
SRC-pilot25_2026Q1_v1-FILING-ADSK-000076939726000015,pilot25_2026Q1_v1,filing,ADSK 10-K primary filing document,https://www.sec.gov/Archives/edgar/data/769397/000076939726000015/adsk-20260131.htm,0000769397-26-000015,2026-03-16T17:04:51.801Z,2026-03-03,C:/Users/uprig/Documents/claude/jobs_sp500/data/raw/pilot25_2026Q1_v1__filing_primary_docs__2026-03-16T17-04-51.801Z/ADSK__000076939726000015__adsk-20260131.htm,aab3e1bcd151a211fbb437ab0a5786064d6b4c48c7f3cd240c546e4e7468317a
SRC-pilot25_2026Q1_v1-FILING-AEE-000100291026000009,pilot25_2026Q1_v1,filing,AEE 10-K primary filing document,https://www.sec.gov/Archives/edgar/data/1002910/000100291026000009/aee-20251231.htm,0001002910-26-000009,2026-03-16T17:04:51.801Z,2026-02-18,C:/Users/uprig/Documents/claude/jobs_sp500/data/raw/pilot25_2026Q1_v1__filing_primary_docs__2026-03-16T17-04-51.801Z/AEE__000100291026000009__aee-20251231.htm,2b32a228103e0d23a6b44bb05c1133070ee6d48ac214fe74eb7c590f1f851dab
SRC-pilot25_2026Q1_v1-FILING-AEP-000000490426000013,pilot25_2026Q1_v1,filing,AEP 10-K primary filing document,https://www.sec.gov/Archives/edgar/data/4904/000000490426000013/aep-20251231.htm,0000004904-26-000013,2026-03-16T17:04:51.801Z,2026-02-12,C:/Users/uprig/Documents/claude/jobs_sp500/data/raw/pilot25_2026Q1_v1__filing_primary_docs__2026-03-16T17-04-51.801Z/AEP__000000490426000013__aep-20251231.htm,ec6b2320848cf38119412f59d54274b4a97430a05a99200050c0b8343fc7a199
